iter	Passed	Remaining
0	138	13666
1	138	6798
2	139	4509
3	140	3361
4	140	2673
5	141	2214
6	142	1886
7	142	1641
8	143	1450
9	144	1297
10	144	1172
11	145	1067
12	146	980
13	147	904
14	147	838
15	148	780
16	149	729
17	150	684
18	151	644
19	152	608
20	152	574
21	153	544
22	154	516
23	155	491
24	155	467
25	156	446
26	157	425
27	158	406
28	158	389
29	159	372
30	160	357
31	161	342
32	162	329
33	163	316
34	163	304
35	164	292
36	165	281
37	166	271
38	167	261
39	168	252
40	169	243
41	169	233
42	170	225
43	171	217
44	171	209
45	172	202
46	173	195
47	174	188
48	175	182
49	175	175
50	176	169
51	177	163
52	178	157
53	178	152
54	179	146
55	180	141
56	181	136
57	181	131
58	182	126
59	183	122
60	184	117
61	185	113
62	185	109
63	186	105
64	187	101
65	188	97
66	189	93
67	189	89
68	190	85
69	191	82
70	192	78
71	193	75
72	193	71
73	194	68
74	195	65
75	196	62
76	197	59
77	198	55
78	199	52
79	200	50
80	200	47
81	201	44
82	202	41
83	203	38
84	204	36
85	204	33
86	205	30
87	206	28
88	207	25
89	208	23
90	208	20
91	209	18
92	210	15
93	211	13
94	212	11
95	212	8
96	213	6
97	214	4
98	215	2
99	216	0
