iter	Passed	Remaining
0	141	13981
1	142	6994
2	143	4653
3	145	3482
4	146	2786
5	148	2324
6	149	1988
7	150	1736
8	152	1544
9	153	1383
10	155	1260
11	157	1151
12	158	1059
13	159	980
14	160	910
15	161	850
16	163	796
17	164	748
18	165	705
19	166	667
20	168	632
21	169	599
22	170	570
23	171	543
24	172	518
25	173	495
26	175	473
27	176	453
28	177	434
29	178	417
30	180	400
31	181	384
32	182	370
33	183	356
34	185	343
35	186	331
36	187	319
37	188	307
38	189	296
39	190	286
40	192	276
41	193	266
42	194	257
43	195	248
44	196	240
45	197	232
46	199	224
47	200	217
48	201	209
49	202	202
50	204	196
51	205	189
52	206	183
53	207	176
54	208	170
55	210	165
56	211	159
57	212	153
58	213	148
59	215	143
60	216	138
61	217	133
62	218	128
63	219	123
64	220	118
65	221	114
66	223	109
67	223	105
68	224	100
69	225	96
70	227	92
71	228	88
72	229	84
73	230	81
74	231	77
75	233	73
76	234	69
77	235	66
78	236	62
79	237	59
80	238	56
81	239	52
82	240	49
83	241	46
84	243	42
85	244	39
86	245	36
87	246	33
88	247	30
89	248	27
90	250	24
91	251	21
92	252	18
93	253	16
94	254	13
95	255	10
96	256	7
97	257	5
98	259	2
99	260	0
